Header_시,Header_구,Header_동,Header_Timestamp,Header_단지명,Header_평형,target,Static__준공구분,Static__세대수구분,Static__평수구분,Static__건설사등급,Static__초품아여부,Static__역세권수,Static__호재수,depth1__ecos__base_rate,depth1__ecos__cd_91d_rate,depth1__ecos__cpi_housing,depth1__ecos__m2_avg,depth1__ecos__mortgage_rate_new,depth1__ecos__unemployment_rate,depth2__reb__apt_sale_supply_demand,depth2__reb__apt_jeonse_supply_demand,depth2__reb__apt_monthly_rent_supply_demand,depth3__reb__apt_sale_index,depth3__reb__apt_jeonse_index,depth3__policy__ltv_tightness,depth3__policy__dsr_severity,depth3__policy__is_speculative,depth3__policy__is_overheated,depth3__policy__is_regulated
서울특별시,광진구,구의동,2026-05-01,e편한세상광진그랜드파크,84.97,205000.0,신축,중단지,중형,대형,,1,0,2.5,2.82,118.53,4143515.8,4.31,2.9,,,,104.016591,102.605142,1,1,0,1,1
서울특별시,광진구,구의동,2026-04-01,e편한세상광진그랜드파크,84.97,200000.0,신축,중단지,중형,대형,,1,0,2.5,2.82,118.24,4143515.8,4.31,2.9,106.748291571754,111.531890660592,110.933940774487,103.334267,101.401649,1,1,0,1,1
서울특별시,광진구,구의동,2026-03-01,e편한세상광진그랜드파크,84.97,197500.0,신축,중단지,중형,대형,,1,0,2.5,2.82,118.05,4143515.8,4.34,3.0,104.100227790433,107.260820045558,108.883826879271,102.618161,101.003095,1,1,0,1,1
서울특별시,광진구,구의동,2026-02-01,e편한세상광진그랜드파크,84.97,197500.0,신축,중단지,중형,대형,,1,0,2.5,2.78,117.83,4111822.7,4.32,3.4,104.925968109339,107.033029612756,110.421412300683,101.227793,100.549592,1,1,0,1,1
서울특별시,광진구,구의동,2026-01-01,e편한세상광진그랜드파크,84.97,197500.0,신축,중단지,중형,대형,,1,0,2.5,2.7,117.36,4105513.1,4.29,4.1,105.666287015945,109.253986332574,108.428246013667,100.0,100.0,1,1,0,1,1
서울특별시,광진구,구의동,2025-12-01,e편한세상광진그랜드파크,84.97,195000.0,신축,중단지,중형,대형,,1,0,2.5,2.84,117.12,4089671.2,4.23,4.1,101.765375854214,107.687927107061,108.058086560364,99.301442,99.123795,1,1,0,1,1
서울특별시,광진구,구의동,2025-11-01,e편한세상광진그랜드파크,84.97,195000.0,신축,중단지,중형,대형,,1,0,2.5,2.69,116.89,4066699.3,4.17,2.2,100.0569476082,106.805239179954,107.403189066059,98.116575,98.297556,1,1,0,1,1
서울특별시,광진구,구의동,2025-10-01,e편한세상광진그랜드파크,84.97,195000.0,신축,중단지,중형,대형,,1,0,2.5,2.55,116.94,4056854.5,3.98,2.2,100.597949886105,106.378132118451,106.520501138952,94.59189,97.284977,1,1,0,1,1
서울특별시,광진구,구의동,2025-09-01,e편한세상광진그랜드파크,84.97,195000.0,신축,중단지,중형,대형,,1,0,2.5,2.56,116.71,4055458.9,3.96,2.1,98.1776765375854,103.616173120729,105.03986332574,90.556987,95.995449,-1,1,0,0,0
서울특별시,광진구,구의동,2025-08-01,e편한세상광진그랜드파크,84.97,190000.0,신축,중단지,중형,대형,,1,0,2.5,2.51,115.37,4031011.4,3.96,2.0,95.3018223234624,101.907744874715,103.331435079727,89.199429,95.230508,-1,1,0,0,0
