Header_시,Header_구,Header_동,Header_Timestamp,Header_단지명,Header_평형,target,Static__준공구분,Static__세대수구분,Static__평수구분,Static__건설사등급,Static__초품아여부,Static__역세권수,Static__호재수,depth1__ecos__base_rate,depth1__ecos__cd_91d_rate,depth1__ecos__cpi_housing,depth1__ecos__m2_avg,depth1__ecos__mortgage_rate_new,depth1__ecos__unemployment_rate,depth2__reb__apt_sale_supply_demand,depth2__reb__apt_jeonse_supply_demand,depth2__reb__apt_monthly_rent_supply_demand,depth3__reb__apt_sale_index,depth3__reb__apt_jeonse_index,depth3__policy__ltv_tightness,depth3__policy__dsr_severity,depth3__policy__is_speculative,depth3__policy__is_overheated,depth3__policy__is_regulated
서울특별시,중구,입정동,2026-05-01,힐스테이트세운센트럴1단지(도시형),49.96,112500.0,신축,소단지,소형,대형,,10,1,2.5,2.82,118.53,4143515.8,4.31,2.9,,,,104.994321,103.005638,1,1,0,1,1
서울특별시,중구,입정동,2026-04-01,힐스테이트세운센트럴1단지(도시형),49.96,112500.0,신축,소단지,소형,대형,,10,1,2.5,2.82,118.24,4143515.8,4.31,2.9,103.323699421965,107.947976878613,110.549132947977,102.991526,102.243052,1,1,0,1,1
서울특별시,중구,입정동,2026-03-01,힐스테이트세운센트럴1단지(도시형),49.96,107500.0,신축,소단지,소형,대형,,10,1,2.5,2.82,118.05,4143515.8,4.34,3.0,102.890173410405,105.491329479769,109.682080924855,102.474177,101.717687,1,1,0,1,1
서울특별시,중구,입정동,2026-02-01,힐스테이트세운센트럴1단지(도시형),49.96,107500.0,신축,소단지,소형,대형,,10,1,2.5,2.78,117.83,4111822.7,4.32,3.4,103.034682080925,103.034682080925,107.658959537572,101.119134,100.403985,1,1,0,1,1
서울특별시,중구,입정동,2026-01-01,힐스테이트세운센트럴1단지(도시형),49.96,107500.0,신축,소단지,소형,대형,,10,1,2.5,2.7,117.36,4105513.1,4.29,4.1,105.491329479769,102.312138728324,107.514450867052,100.0,100.0,1,1,0,1,1
서울특별시,중구,입정동,2025-12-01,힐스테이트세운센트럴1단지(도시형),49.96,106500.0,신축,소단지,소형,대형,,10,1,2.5,2.84,117.12,4089671.2,4.23,4.1,105.202312138728,103.757225433526,107.514450867052,99.323667,99.72104,1,1,0,1,1
서울특별시,중구,입정동,2025-11-01,힐스테이트세운센트럴1단지(도시형),49.96,106500.0,신축,소단지,소형,대형,,10,1,2.5,2.69,116.89,4066699.3,4.17,2.2,105.057803468208,103.612716763006,107.225433526012,97.345089,99.330792,1,1,0,1,1
서울특별시,중구,입정동,2025-10-01,힐스테이트세운센트럴1단지(도시형),49.96,103500.0,신축,소단지,소형,대형,,10,1,2.5,2.55,116.94,4056854.5,3.98,2.2,111.849710982659,104.913294797688,107.080924855491,94.781664,98.695408,1,1,0,1,1
서울특별시,중구,입정동,2025-09-01,힐스테이트세운센트럴1단지(도시형),49.96,103500.0,신축,소단지,소형,대형,,10,1,2.5,2.56,116.71,4055458.9,3.96,2.1,108.236994219653,103.612716763006,104.335260115607,93.145007,98.04882,-1,1,0,0,0
서울특별시,중구,입정동,2025-08-01,힐스테이트세운센트럴1단지(도시형),49.96,103500.0,신축,소단지,소형,대형,,10,1,2.5,2.51,115.37,4031011.4,3.96,2.0,102.167630057803,101.156069364162,101.734104046243,91.728017,97.842905,-1,1,0,0,0
